"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
SM12|000000000001360208|20200217|1.000-
SM12|000000000001267129|20200217|126.000 
SM12|000000000001272822|20200217|0.849-
SM12|000000000001282454|20200217|28.000 
SM06|000000000001018245|20200217|0.186 
SM06|000000000001036546|20200217|188.000 
SM12|000000000001008763|20200217|2.584 
SM12|000000000001008932|20200217|170.231 
SM12|000000000001314631|20200217|20.000 
SM13|000000000001051953|20200217|4.000 
SM13|000000000001052169|20200217|191.000 
SM12|000000000001034289|20200217|10.460 
SM13|000000000001013393|20200217|52.965 
SM13|000000000001018826|20200217|14.201 
SM13|000000000001008713|20200217|18.062 
SM12|000000000001069475|20200217|0.702 
SM13|000000000001008821|20200217|1.461 
SM13|000000000001008887|20200217|109.070 
SM13|000000000001008890|20200217|9.174-
SM13|000000000001008899|20200217|10.387 
SM06|000000000001008713|20200217|16.252 
SM06|000000000001008721|20200217|177.204 
SM06|000000000001008746|20200217|2.340 
SM06|000000000001008765|20200217|9.254 
SM06|000000000001008799|20200217|2.258 
SM06|000000000001008817|20200217|9.848 
SM06|000000000001008888|20200217|24.714 
SM06|000000000001008890|20200217|33.000 
SM06|000000000001008918|20200217|4.528 
SM12|000000000001358048|20200217|53.000-
SM13|000000000001036528|20200217|10.058-
SM12|000000000001249609|20200217|7.000-
SM12|000000000001249611|20200217|6.000-
SM12|000000000001249633|20200217|7.000-
SM12|000000000001249640|20200217|13.000-
SM09|000000000001306037|20200217|1.000 
SM11|000000000001008704|20200217|99.490 
SM11|000000000001008705|20200217|8.434 
SM11|000000000001008729|20200217|3.502 
SM09|000000000001018685|20200217|28.000 
SM11|000000000001008745|20200217|13.336 
SM11|000000000001008750|20200217|38.626 
SM11|000000000001008756|20200217|3.076 
SM11|000000000001008757|20200217|1.238 
SM11|000000000001008759|20200217|1.964 
SM11|000000000001008760|20200217|4.248 
SM11|000000000001008766|20200217|7.114 
SM11|000000000001008914|20200217|51.000 
SM11|000000000001008918|20200217|6.830 
SM09|000000000001052169|20200217|141.000 
SM11|000000000001017921|20200217|1.000 
SM11|000000000001026389|20200217|7.000-
SM11|000000000001036518|20200217|10.200 
SM09|000000000001228347|20200217|0.946 
SM11|000000000001069475|20200217|55.130 
SM08|000000000001330711|20200217|5.563 
SM09|000000000001008703|20200217|2.484-
SM09|000000000001008719|20200217|117.531 
SM09|000000000001008902|20200217|0.431 
SM08|000000000001137057|20200217|0.281-
SM09|000000000001013386|20200217|4.851 
SM08|000000000001008742|20200217|3.637-
SM08|000000000001013393|20200217|59.585 
SM08|000000000001018685|20200217|48.000 
SM08|000000000001018826|20200217|43.078 
SM08|000000000001036530|20200217|205.646 
SM08|000000000001036561|20200217|75.000 
SM22|000000000001052014|20200217|22.000 
SM20|000000000001359555|20200217|1.000 
SM20|000000000001359562|20200217|2.000 
SM22|000000000001008727|20200217|10.512 
SM22|000000000001008735|20200217|0.800-
SM22|000000000001008914|20200217|17.752 
SM15|000000000001137057|20200217|21.340 
SM15|000000000001228340|20200217|1.464 
SM15|000000000001008700|20200217|35.947 
SM15|000000000001008718|20200217|5.166-
SM15|000000000001008735|20200217|5.942 
SM15|000000000001008782|20200217|1.128 
SM15|000000000001008799|20200217|2.000 
SM15|000000000001018342|20200217|1.986 
SM15|000000000001036546|20200217|123.000 
SM15|000000000001037003|20200217|3.000 
SM23|000000000001337947|20200217|8.000 
SM16|000000000001321513|20200217|2.000-
SM24|000000000001051944|20200217|1.000 
SM24|000000000001331143|20200217|1.000 
SM24|000000000001338524|20200217|5.000 
SM23|000000000001360152|20200217|1.000-
SM16|000000000001359553|20200217|2.000-
SM16|000000000001359559|20200217|1.000-
SM16|000000000001228341|20200217|75.874 
SM16|000000000001249470|20200217|9.358 
SM16|000000000001267129|20200217|129.000 
SM24|000000000001304248|20200217|3.757 
SM24|000000000001306037|20200217|31.000 
SM24|000000000001306038|20200217|3.713-
SM24|000000000001306438|20200217|1.000 
SM24|000000000001306441|20200217|3.000 
SM24|000000000001307023|20200217|2.000 
SM24|000000000001008716|20200217|7.109 
SM24|000000000001008733|20200217|13.903 
SM24|000000000001008743|20200217|7.672-
SM16|000000000001306037|20200217|22.000 
SM16|000000000001306841|20200217|7.000 
SM24|000000000001017925|20200217|7.000-
SM24|000000000001018626|20200217|4.000 
SM22|000000000001249645|20200217|93.310-
SM22|000000000001272822|20200217|6.166-
SM22|000000000001360151|20200217|21.000-
SM22|000000000001360160|20200217|324.000-
SM22|000000000001360170|20200217|45.000-
SM16|000000000001008700|20200217|171.526-
SM16|000000000001008746|20200217|0.204-
SM16|000000000001008828|20200217|17.772 
SM16|000000000001008932|20200217|65.460 
SM16|000000000001008934|20200217|43.714 
SM22|000000000001306852|20200217|4.000 
SM23|000000000001306035|20200217|23.000-
SM22|000000000001325543|20200217|9.000 
SM22|000000000001325544|20200217|9.000 
SM16|000000000001052014|20200217|5.000 
SM22|000000000001337933|20200217|1.000-
SM22|000000000001337946|20200217|20.000-
SM23|000000000001008739|20200217|2.218 
SM23|000000000001008750|20200217|15.293 
SM23|000000000001008753|20200217|1.322 
SM23|000000000001008821|20200217|3.120 
SM23|000000000001008866|20200217|1.000 
SM23|000000000001008944|20200217|5.904 
SM23|000000000001249600|20200217|6.000-
SM23|000000000001249634|20200217|7.000-
SM23|000000000001249640|20200217|4.000-
SM23|000000000001259773|20200217|9.000 
SM22|000000000001344065|20200217|37.000-
SM23|000000000001018612|20200217|9.932 
SM23|000000000001299216|20200217|1.000-
SM23|000000000001028375|20200217|2.826 
SM25|000000000001008828|20200217|16.832 
SM25|000000000001008864|20200217|14.000 
SM25|000000000001306037|20200217|4.000 
SM25|000000000001013393|20200217|206.324 
SM25|000000000001018823|20200217|91.607 
SM25|000000000001036526|20200217|108.568 
SM25|000000000001036530|20200217|230.993 
SM25|000000000001052014|20200217|8.000 
SM20|000000000001008717|20200217|8.053 
SM20|000000000001008737|20200217|9.553 
SM20|000000000001008743|20200217|44.329 
SM20|000000000001008744|20200217|30.227 
SM20|000000000001008778|20200217|9.295 
SM25|000000000001137057|20200217|42.400 
SM20|000000000001013378|20200217|1.020-
SM25|000000000001219388|20200217|10.000 
SM18|000000000001347156|20200217|2.000 
SM18|000000000001348209|20200217|1.000-
SM20|000000000001036522|20200217|0.286 
SM18|000000000001356743|20200217|17.000-
SM18|000000000001356751|20200217|3.000-
SM25|000000000001292383|20200217|140.000 
SM18|000000000001359558|20200217|23.000-
SM18|000000000001366020|20200217|14.000-
SM25|000000000001008700|20200217|322.388-
SM25|000000000001008727|20200217|4.000 
SM25|000000000001008743|20200217|94.266 
SM18|000000000001013376|20200217|3.000-
SM17|000000000001228340|20200217|5.718 
SM18|000000000001027694|20200217|13.000-
SM18|000000000001051952|20200217|3.000 
SM18|000000000001334405|20200217|8.000-
SM17|000000000001008726|20200217|0.894 
SM17|000000000001008743|20200217|48.648 
SM17|000000000001008778|20200217|0.578 
SM17|000000000001008861|20200217|1.000 
SM18|000000000001113180|20200217|1.000-
SM17|000000000001036528|20200217|4.944 
SM18|000000000001008726|20200217|2.754 
SM18|000000000001008733|20200217|0.316 
SM18|000000000001008740|20200217|4.730 
SM18|000000000001008750|20200217|32.036-
SM18|000000000001008780|20200217|1.694-
SM18|000000000001307023|20200217|4.000 
SM18|000000000001307024|20200217|2.000 
SM18|000000000001307031|20200217|1.000 
SM18|000000000001008830|20200217|1.000-
SM18|000000000001008890|20200217|73.906 
SM18|000000000001010863|20200217|4.000 
SM26|000000000001013375|20200217|8.216 
SM26|000000000001028698|20200217|45.136 
SM26|000000000001036527|20200217|0.770 
SM26|000000000001306849|20200217|20.000 
SM31|000000000001008719|20200217|79.263-
SM31|000000000001008747|20200217|7.833 
SM31|000000000001008758|20200217|5.711 
SM31|000000000001028375|20200217|2.900-
SM31|000000000001034289|20200217|1.550 
SM26|000000000001337930|20200217|446.000-
SM26|000000000001008717|20200217|3.010 
SM26|000000000001008816|20200217|5.000 
SM26|000000000001008894|20200217|60.244 
SM25|000000000001359558|20200217|8.000-
SM34|000000000001020973|20200217|38.000 
SM34|000000000001036515|20200217|6.420 
SM27|000000000001259773|20200217|5.200 
SM27|000000000001008725|20200217|3.460 
SM27|000000000001008729|20200217|8.332 
SM27|000000000001008747|20200217|8.716 
SM27|000000000001008828|20200217|7.926 
SM27|000000000001306074|20200217|1.000 
SM27|000000000001360154|20200217|4.000-
SM27|000000000001360207|20200217|18.000-
SM34|000000000001008704|20200217|7.610 
SM34|000000000001008705|20200217|5.422 
SM34|000000000001008759|20200217|8.932 
SM34|000000000001008783|20200217|7.746 
SM34|000000000001008898|20200217|12.080 
SM34|000000000001008944|20200217|2.380 
SM31|000000000001340913|20200217|2.000 
SM31|000000000001340916|20200217|14.000 
SM32|000000000001018683|20200217|14.000 
SM31|000000000001249639|20200217|117.000-
SM32|000000000001034290|20200217|11.257 
SM31|000000000001356743|20200217|6.000-
SM31|000000000001358042|20200217|93.000-
SM32|000000000001051944|20200217|12.000-
SM31|000000000001360153|20200217|32.000-
SM31|000000000001360162|20200217|30.000-
SM31|000000000001360165|20200217|2.000-
SM31|000000000001360172|20200217|6.000-
SM31|000000000001360191|20200217|10.000-
SM32|000000000001172641|20200217|5.058 
SM31|000000000001314632|20200217|30.000 
SM26|000000000001366013|20200217|24.000-
SM32|000000000001008717|20200217|2.185 
SM32|000000000001008934|20200217|21.722 
SM31|000000000001337951|20200217|19.000-
SM31|000000000001337957|20200217|10.000-
SM35|000000000001272821|20200217|0.992-
SM35|000000000001008700|20200217|106.698 
SM35|000000000001008823|20200217|7.692 
SM35|000000000001008932|20200217|124.052 
SM35|000000000001303026|20200217|638.000 
SM28|000000000001331143|20200217|9.000-
SM28|000000000001336496|20200217|19.000 
SM28|000000000001337959|20200217|3.000 
SM28|000000000001338515|20200217|1.000 
SM28|000000000001008729|20200217|4.754 
SM28|000000000001008739|20200217|10.262 
SM28|000000000001008745|20200217|21.918 
SM28|000000000001008809|20200217|0.734 
SM28|000000000001008821|20200217|4.730 
SM28|000000000001008939|20200217|0.900 
SM28|000000000001356744|20200217|19.000-
SM28|000000000001356747|20200217|35.000-
SM28|000000000001359563|20200217|19.000-
SM28|000000000001013386|20200217|1.460 
SM28|000000000001306362|20200217|4.000 
SM28|000000000001306420|20200217|1.000 
SM28|000000000001036546|20200217|63.000 
SM28|000000000001036997|20200217|7.000 
SM28|000000000001069475|20200217|0.766 
SM38|000000000001172641|20200217|3.912 
SM37|000000000001349369|20200217|3.000-
SM38|000000000001008704|20200217|47.784 
SM38|000000000001008713|20200217|6.160 
SM38|000000000001306429|20200217|6.000 
SM37|000000000001360173|20200217|16.000-
SM37|000000000001360191|20200217|3.000-
SM37|000000000001336509|20200217|42.000 
SM37|000000000001337949|20200217|1.000-
SM37|000000000001341633|20200217|1.000-
SM36|000000000001306582|20200217|185.966-
SM37|000000000001249597|20200217|19.000-
SM37|000000000001249608|20200217|10.000-
SM36|000000000001018343|20200217|17.194 
SM36|000000000001314631|20200217|13.000-
SM37|000000000001283328|20200217|56.797-
SM37|000000000001299211|20200217|97.000-
SM37|000000000001008740|20200217|9.342 
SM37|000000000001008742|20200217|12.961-
SM36|000000000001337503|20200217|28.000 
SM36|000000000001337935|20200217|9.000-
SM36|000000000001340915|20200217|42.000 
SM36|000000000001344024|20200217|48.000-
SM36|000000000001344068|20200217|93.000-
SM37|000000000001018598|20200217|18.000-
